year,Region,Site,Rep,Microsite,D1,D2,H,abundance,richness
2016,Mojave,2.5,27,Shrub,2.3,1.9,1.4,26,4
2016,Mojave,2.5,27,Open,,,,7,3
2016,Mojave,2.5,28,Shrub,3,1.7,1.4,44,4
2016,Mojave,2.5,28,Open,,,,8,3
2016,Mojave,2.5,29,Shrub,2.3,2.7,1.2,7,3
2016,Mojave,2.5,29,Open,,,,0,0
2016,Mojave,2.5,30,Shrub,2.8,3.3,1.4,24,3
2016,Mojave,2.5,30,Open,,,,1,1
2016,Mojave,2.4,1,Shrub,3.4,2.5,1.9,30,6
2016,Mojave,2.4,1,Open,,,,8,2
2016,Mojave,2.4,2,Shrub,1.4,1.1,1,12,5
2016,Mojave,2.4,2,Open,,,,31,3
2016,Mojave,2.4,3,Shrub,2.9,1.4,1.4,39,5
2016,Mojave,2.4,3,Open,,,,9,4
2016,Mojave,2.4,4,Shrub,2.1,1.8,1.7,45,7
2016,Mojave,2.4,4,Open,,,,9,4
2016,Mojave,2.4,5,Shrub,1.9,1.7,1.8,27,1
2016,Mojave,2.4,5,Open,,,,0,0
2016,Mojave,2.4,6,Shrub,2.5,1.8,1.4,10,4
2016,Mojave,2.4,6,Open,,,,28,3
2016,Mojave,2.4,7,Shrub,3.3,2.8,1.5,59,5
2016,Mojave,2.4,7,Open,,,,5,2
2016,Mojave,2.4,8,Shrub,2.1,2.3,1.8,55,4
2016,Mojave,2.4,8,Open,,,,9,4
2016,Mojave,2.4,9,Shrub,2.9,2.3,1.2,66,7
2016,Mojave,2.4,9,Open,,,,6,2
2016,Mojave,2.4,10,Shrub,2.5,2.4,2.5,79,5
2016,Mojave,2.4,10,Open,,,,23,4
2016,Mojave,2.4,11,Shrub,3.9,2.4,2.2,47,3
2016,Mojave,2.4,11,Open,,,,9,3
2016,Mojave,2.4,12,Shrub,2.8,2.1,1.4,12,4
2016,Mojave,2.4,12,Open,,,,12,3
2016,Mojave,2.4,13,Shrub,3,2.4,1.5,39,4
2016,Mojave,2.4,13,Open,,,,1,1
2016,Mojave,2.4,14,Shrub,2.9,2.4,1.9,33,7
2016,Mojave,2.4,14,Open,,,,3,2
2016,Mojave,2.4,15,Shrub,3.3,1.7,1.4,50,5
2016,Mojave,2.4,15,Open,,,,13,3
2016,Mojave,2.4,16,Shrub,1.8,1,1.3,80,5
2016,Mojave,2.4,16,Open,,,,12,3
2016,Mojave,2.4,17,Shrub,2.4,1.6,1.2,25,4
2016,Mojave,2.4,17,Open,,,,16,2
2016,Mojave,2.4,18,Shrub,2.9,1.5,1.6,81,1
2016,Mojave,2.4,18,Open,,,,4,2
2016,Mojave,2.4,19,Shrub,2.7,1.8,1.5,78,4
2016,Mojave,2.4,19,Open,,,,7,2
2016,Mojave,2.4,20,Shrub,2.3,2.4,1.5,33,8
2016,Mojave,2.4,20,Open,,,,2,1
2016,Mojave,2.4,21,Shrub,2.6,3.8,1.1,34,6
2016,Mojave,2.4,21,Open,,,,2,2
2016,Mojave,2.4,22,Shrub,3.5,2.5,2.2,45,5
2016,Mojave,2.4,22,Open,,,,5,3
2016,Mojave,2.4,23,Shrub,2.1,2.3,1.4,17,4
2016,Mojave,2.4,23,Open,,,,2,1
2016,Mojave,2.4,24,Shrub,1.6,1.7,1.4,60,5
2016,Mojave,2.4,24,Open,,,,15,4
2016,Mojave,2.4,25,Shrub,3.4,3.1,2.1,91,2
2016,Mojave,2.4,25,Open,,,,0,0
2016,Mojave,2.4,26,Shrub,2.2,2.6,1.2,33,4
2016,Mojave,2.4,26,Open,,,,1,1
2016,Mojave,2.4,27,Shrub,3.2,2.6,1.5,37,4
2016,Mojave,2.4,27,Open,,,,24,2
2016,Mojave,2.4,28,Shrub,2.9,2.2,1.3,0,0
2016,Mojave,2.4,28,Open,,,,18,2
2016,Mojave,2.4,29,Shrub,3.7,3.8,1.5,15,4
2016,Mojave,2.4,29,Open,,,,4,2
2016,Mojave,2.4,30,Shrub,3.8,3.7,1.8,14,5
2016,Mojave,2.4,30,Open,,,,13,2
2016,Mojave,2.3,1,Shrub,2.2,1.8,1.6,57,1
2016,Mojave,2.3,1,Open,,,,10,2
2016,Mojave,2.3,2,Shrub,2.5,2.5,1.3,50,2
2016,Mojave,2.3,2,Open,,,,27,3
2016,Mojave,2.3,3,Shrub,1.4,1.5,1.4,31,4
2016,Mojave,2.3,3,Open,,,,9,3
2016,Mojave,2.3,4,Shrub,3.2,1.9,1.2,39,3
2016,Mojave,2.3,4,Open,,,,4,3
2016,Mojave,2.3,5,Shrub,1.4,1.9,1.2,27,2
2016,Mojave,2.3,5,Open,,,,0,0
2016,Mojave,2.3,6,Shrub,1.7,1.6,1.1,3,1
2016,Mojave,2.3,6,Open,,,,0,0
2016,Mojave,2.3,7,Shrub,1,0.9,0.6,10,3
2016,Mojave,2.3,7,Open,,,,5,3
2016,Mojave,2.3,8,Shrub,2.2,1.4,1.3,55,5
2016,Mojave,2.3,8,Open,,,,5,3
2016,Mojave,2.3,9,Shrub,2.2,1.8,1.1,33,3
2016,Mojave,2.3,9,Open,,,,0,0
2016,Mojave,2.3,10,Shrub,2.8,0.6,1.6,1,1
2016,Mojave,2.3,10,Open,,,,1,1
2016,Mojave,2.3,11,Shrub,2.6,2,1.5,54,3
2016,Mojave,2.3,11,Open,,,,3,1
2016,Mojave,2.3,12,Shrub,1.5,1.4,1.4,43,2
2016,Mojave,2.3,12,Open,,,,2,2
2016,Mojave,2.3,13,Shrub,1.9,2.1,1.1,34,2
2016,Mojave,2.3,13,Open,,,,9,2
2016,Mojave,2.3,14,Shrub,1.2,1.3,1.2,27,4
2016,Mojave,2.3,14,Open,,,,7,3
2016,Mojave,2.3,15,Shrub,1.6,1.7,1.2,4,2
2016,Mojave,2.3,15,Open,,,,19,2
2016,Mojave,2.3,16,Shrub,2.2,2.1,1.5,40,2
2016,Mojave,2.3,16,Open,,,,28,3
2016,Mojave,2.3,17,Shrub,2.7,2.8,1.6,61,3
2016,Mojave,2.3,17,Open,,,,31,3
2016,Mojave,2.3,18,Shrub,2.6,1.5,1.2,67,3
2016,Mojave,2.3,18,Open,,,,22,4
2016,Mojave,2.3,19,Shrub,2.9,2.9,1.6,33,3
2016,Mojave,2.3,19,Open,,,,16,4
2016,Mojave,2.3,20,Shrub,2,2,1.7,40,2
2016,Mojave,2.3,20,Open,,,,27,4
2016,Mojave,2.3,21,Shrub,2.2,2,1.5,50,5
2016,Mojave,2.3,21,Open,,,,36,3
2016,Mojave,2.3,22,Shrub,2.2,2,1.3,40,2
2016,Mojave,2.3,22,Open,,,,34,2
2016,Mojave,2.3,23,Shrub,2.7,2.8,1.4,25,3
2016,Mojave,2.3,23,Open,,,,0,0
2016,Mojave,2.3,24,Shrub,2.8,2.9,1.9,57,4
2016,Mojave,2.3,24,Open,,,,27,4
2016,Mojave,2.3,25,Shrub,0.9,1,1.4,43,3
2016,Mojave,2.3,25,Open,,,,22,5
2016,Mojave,2.3,26,Shrub,2.5,2.8,1.6,31,5
2016,Mojave,2.3,26,Open,,,,6,4
2016,Mojave,2.3,27,Shrub,2.2,1.8,1.1,16,1
2016,Mojave,2.3,27,Open,,,,0,0
2016,Mojave,2.3,28,Shrub,1.8,1.7,1,35,4
2016,Mojave,2.3,28,Open,,,,0,0
2016,Mojave,2.3,29,Shrub,2.2,1.8,1.4,38,2
2016,Mojave,2.3,29,Open,,,,0,0
2016,Mojave,2.3,30,Shrub,2.9,1,1.3,0,0
2016,Mojave,2.3,30,Open,,,,0,0
2016,Mojave,2.2,1,Shrub,2,1.3,1.2,25,3
2016,Mojave,2.2,1,Open,,,,10,3
2016,Mojave,2.2,2,Shrub,1.3,1.4,1.1,12,5
2016,Mojave,2.2,2,Open,,,,19,4
2016,Mojave,2.2,3,Shrub,2.2,1.4,1.2,27,5
2016,Mojave,2.2,3,Open,,,,2,2
2016,Mojave,2.2,4,Shrub,1.9,1.9,1.6,16,3
2016,Mojave,2.2,4,Open,,,,4,3
2016,Mojave,2.2,5,Shrub,2,1.4,1.5,29,4
2016,Mojave,2.2,5,Open,,,,8,3
2016,Mojave,2.2,6,Shrub,1.5,1.5,1.1,17,4
2016,Mojave,2.2,6,Open,,,,8,3
2016,Mojave,2.2,7,Shrub,1.4,1.4,1.1,20,4
2016,Mojave,2.2,7,Open,,,,10,4
2016,Mojave,2.2,8,Shrub,1.7,1.1,1.4,16,4
2016,Mojave,2.2,8,Open,,,,6,2
2016,Mojave,2.2,9,Shrub,2,2,1.5,22,2
2016,Mojave,2.2,9,Open,,,,4,2
2016,Mojave,2.2,10,Shrub,2.3,2.5,1.4,21,4
2016,Mojave,2.2,10,Open,,,,14,5
2016,Mojave,2.2,11,Shrub,1.7,2.1,1.5,32,5
2016,Mojave,2.2,11,Open,,,,3,3
2016,Mojave,2.2,12,Shrub,2.3,2.4,1.4,16,3
2016,Mojave,2.2,12,Open,,,,10,4
2016,Mojave,2.2,13,Shrub,2.3,2.1,1.6,27,3
2016,Mojave,2.2,13,Open,,,,4,2
2016,Mojave,2.2,14,Shrub,3,2.4,1.5,27,4
2016,Mojave,2.2,14,Open,,,,1,1
2016,Mojave,2.2,15,Shrub,2.8,3,2.1,16,4
2016,Mojave,2.2,15,Open,,,,0,0
2016,Mojave,2.2,16,Shrub,1.8,1.9,1.4,21,3
2016,Mojave,2.2,16,Open,,,,5,3
2016,Mojave,2.2,17,Shrub,2,2,1.7,11,4
2016,Mojave,2.2,17,Open,,,,6,3
2016,Mojave,2.2,18,Shrub,1.1,1.2,1.1,10,3
2016,Mojave,2.2,18,Open,,,,5,3
2016,Mojave,2.2,19,Shrub,1.5,1.4,1.4,10,4
2016,Mojave,2.2,19,Open,,,,3,2
2016,Mojave,2.2,20,Shrub,1.9,1.9,1.5,32,4
2016,Mojave,2.2,20,Open,,,,6,3
2016,Mojave,2.2,21,Shrub,2,1.9,1.4,17,3
2016,Mojave,2.2,21,Open,,,,5,2
2016,Mojave,2.2,22,Shrub,1.1,1.1,1.2,17,5
2016,Mojave,2.2,22,Open,,,,13,5
2016,Mojave,2.2,23,Shrub,1.3,1.4,1.6,22,4
2016,Mojave,2.2,23,Open,,,,13,5
2016,Mojave,2.2,24,Shrub,1.9,1.4,1.7,28,3
2016,Mojave,2.2,24,Open,,,,5,3
2016,Mojave,2.2,25,Shrub,2.2,1.9,1.3,16,4
2016,Mojave,2.2,25,Open,,,,0,0
2016,Mojave,2.2,26,Shrub,1.2,1.4,1.2,33,4
2016,Mojave,2.2,26,Open,,,,6,3
2016,Mojave,2.2,27,Shrub,2.4,2.8,1.8,46,3
2016,Mojave,2.2,27,Open,,,,3,1
2016,Mojave,2.2,28,Shrub,2.6,2.5,1.4,24,3
2016,Mojave,2.2,28,Open,,,,2,1
2016,Mojave,2.2,29,Shrub,1.5,1.4,1.5,34,3
2016,Mojave,2.2,29,Open,,,,3,2
2016,Mojave,2.2,30,Shrub,2.5,2.4,1.6,9,2
2016,Mojave,2.2,30,Open,,,,6,3
2016,Mojave,2.1,1,Shrub,2,1.8,1.2,11,4
2016,Mojave,2.1,1,Open,,,,1,1
2016,Mojave,2.1,2,Shrub,1.4,2.1,1.1,6,4
2016,Mojave,2.1,2,Open,,,,3,2
2016,Mojave,2.1,3,Shrub,1.5,1.6,1.2,2,1
2016,Mojave,2.1,3,Open,,,,5,4
2016,Mojave,2.1,4,Shrub,1.7,1.7,1.2,6,3
2016,Mojave,2.1,4,Open,,,,2,2
2016,Mojave,2.1,5,Shrub,1.9,1.4,1.4,3,1
2016,Mojave,2.1,5,Open,,,,4,3
2016,Mojave,2.1,6,Shrub,1.2,1,0.9,3,2
2016,Mojave,2.1,6,Open,,,,1,1
2016,Mojave,2.1,7,Shrub,1.3,1.5,1.3,2,2
2016,Mojave,2.1,7,Open,,,,4,2
2016,Mojave,2.1,8,Shrub,1.4,1.4,1.2,6,2
2016,Mojave,2.1,8,Open,,,,6,1
2016,Mojave,2.1,9,Shrub,1.3,1.2,1.4,2,1
2016,Mojave,2.1,9,Open,,,,7,2
2016,Mojave,2.1,10,Shrub,1.4,1.3,1.4,10,3
2016,Mojave,2.1,10,Open,,,,7,3
2016,Mojave,2.1,11,Shrub,1.8,1.6,1.4,1,1
2016,Mojave,2.1,11,Open,,,,1,1
2016,Mojave,2.1,12,Shrub,1.5,1.4,1.3,5,2
2016,Mojave,2.1,12,Open,,,,51,2
2016,Mojave,2.1,13,Shrub,1.8,1.7,1.4,1,1
2016,Mojave,2.1,13,Open,,,,6,3
2016,Mojave,2.1,14,Shrub,1.4,1.5,1.1,4,2
2016,Mojave,2.1,14,Open,,,,15,3
2016,Mojave,2.1,15,Shrub,1.1,0.9,1.1,6,2
2016,Mojave,2.1,15,Open,,,,6,3
2016,Mojave,2.1,16,Shrub,1,1,0.9,2,2
2016,Mojave,2.1,16,Open,,,,8,2
2016,Mojave,2.1,17,Shrub,1.9,1.9,1.7,1,1
2016,Mojave,2.1,17,Open,,,,7,3
2016,Mojave,2.1,18,Shrub,1.5,1.9,1.7,11,2
2016,Mojave,2.1,18,Open,,,,8,2
2016,Mojave,2.1,19,Shrub,1.3,1.5,1.7,10,2
2016,Mojave,2.1,19,Open,,,,10,2
2016,Mojave,2.1,20,Shrub,2,2.1,1.4,2,2
2016,Mojave,2.1,20,Open,,,,3,3
2016,Mojave,2.1,21,Shrub,1.6,1.8,1.4,2,2
2016,Mojave,2.1,21,Open,,,,2,1
2016,Mojave,2.1,22,Shrub,2,1.5,1.3,4,2
2016,Mojave,2.1,22,Open,,,,44,2
2016,Mojave,2.1,23,Shrub,1,1.1,1.6,1,1
2016,Mojave,2.1,23,Open,,,,10,3
2016,Mojave,2.1,24,Shrub,0.8,1,1,9,3
2016,Mojave,2.1,24,Open,,,,10,3
2016,Mojave,2.1,25,Shrub,1.4,0.8,0.9,9,3
2016,Mojave,2.1,25,Open,,,,6,1
2016,Mojave,2.1,26,Shrub,0.7,0.8,1.2,16,2
2016,Mojave,2.1,26,Open,,,,17,3
2016,Mojave,2.1,27,Shrub,1.2,1.3,1.1,1,1
2016,Mojave,2.1,27,Open,,,,8,2
2016,Mojave,2.1,28,Shrub,2.2,2.3,1.7,2,2
2016,Mojave,2.1,28,Open,,,,1,1
2016,Mojave,2.1,29,Shrub,1.3,1.6,1.4,2,2
2016,Mojave,2.1,29,Open,,,,11,3
2016,Mojave,2.1,30,Shrub,1,1.1,1.4,12,3
2016,Mojave,2.1,30,Open,,,,5,2
2016,Panoche,1.3,1,Shrub,3.77,2.38,1.59,263,1
2016,Panoche,1.3,1,Open,,,,106,4
2016,Panoche,1.3,2,Shrub,3.22,2.38,1.84,276,1
2016,Panoche,1.3,2,Open,,,,245,3
2016,Panoche,1.3,3,Shrub,1.95,1.3,0.59,217,1
2016,Panoche,1.3,3,Open,,,,175,4
2016,Panoche,1.3,4,Shrub,4.21,4.39,1.71,283,1
2016,Panoche,1.3,4,Open,,,,214,2
2016,Panoche,1.3,5,Shrub,3.41,3.17,1.55,241,1
2016,Panoche,1.3,5,Open,,,,233,3
2016,Panoche,1.3,6,Shrub,2.07,3.2,0.76,250,1
2016,Panoche,1.3,6,Open,,,,206,4
2016,Panoche,1.3,7,Shrub,4.78,6.03,2.25,277,1
2016,Panoche,1.3,7,Open,,,,243,2
2016,Panoche,1.3,8,Shrub,5.76,5.43,2.16,289,1
2016,Panoche,1.3,8,Open,,,,229,2
2016,Panoche,1.3,9,Shrub,2.55,2.27,0.98,245,2
2016,Panoche,1.3,9,Open,,,,145,3
2016,Panoche,1.3,10,Shrub,2.4,2.72,1.04,223,2
2016,Panoche,1.3,10,Open,,,,138,3
2016,Panoche,1.3,11,Shrub,2.9,3.17,1.51,204,2
2016,Panoche,1.3,11,Open,,,,171,4
2016,Panoche,1.3,12,Shrub,1.66,3.1,0.8,215,1
2016,Panoche,1.3,12,Open,,,,188,4
2016,Panoche,1.3,13,Shrub,2.83,3.68,1.63,212,1
2016,Panoche,1.3,13,Open,,,,212,3
2016,Panoche,1.3,14,Shrub,3.02,3.23,1.74,182,2
2016,Panoche,1.3,14,Open,,,,177,3
2016,Panoche,1.3,15,Shrub,4.15,3.51,1.85,254,1
2016,Panoche,1.3,15,Open,,,,117,4
2016,Panoche,1.3,16,Shrub,2.99,2.84,1.9,158,2
2016,Panoche,1.3,16,Open,,,,203,3
2016,Panoche,1.3,17,Shrub,1.65,1.77,1.37,270,1
2016,Panoche,1.3,17,Open,,,,194,3
2016,Panoche,1.3,18,Shrub,3.99,4.08,1.6,254,1
2016,Panoche,1.3,18,Open,,,,182,3
2016,Panoche,1.3,19,Shrub,1.65,1.16,0.62,241,1
2016,Panoche,1.3,19,Open,,,,183,4
2016,Panoche,1.3,20,Shrub,3.43,2.73,1.83,268,1
2016,Panoche,1.3,20,Open,,,,113,4
2016,Panoche,1.3,21,Shrub,4.11,3.28,1.95,267,1
2016,Panoche,1.3,21,Open,,,,123,4
2016,Panoche,1.3,22,Shrub,3.97,2.23,1.35,286,1
2016,Panoche,1.3,22,Open,,,,195,3
2016,Panoche,1.3,23,Shrub,3.28,2.85,1.75,225,2
2016,Panoche,1.3,23,Open,,,,184,4
2016,Panoche,1.3,24,Shrub,2.64,2.26,1.9,312,1
2016,Panoche,1.3,24,Open,,,,260,3
2016,Panoche,1.3,25,Shrub,3.34,2.35,1.48,286,1
2016,Panoche,1.3,25,Open,,,,173,3
2016,Panoche,1.3,26,Shrub,2.47,2.91,1.67,222,1
2016,Panoche,1.3,26,Open,,,,188,2
2016,Panoche,1.3,27,Shrub,4.07,4.9,1.66,246,1
2016,Panoche,1.3,27,Open,,,,177,3
2016,Panoche,1.3,28,Shrub,4.42,4.17,1.85,334,1
2016,Panoche,1.3,28,Open,,,,244,2
2016,Panoche,1.3,29,Shrub,1.72,2,1.19,278,1
2016,Panoche,1.3,29,Open,,,,185,3
2016,Panoche,1.3,30,Shrub,2.42,2.47,1.4,268,1
2016,Panoche,1.3,30,Open,,,,218,2
2016,Panoche,1.2,1,Shrub,2.08,2.66,1.09,272,3
2016,Panoche,1.2,1,Open,,,,68,4
2016,Panoche,1.2,2,Shrub,2.76,2.7,1.26,154,3
2016,Panoche,1.2,2,Open,,,,54,4
2016,Panoche,1.2,3,Shrub,1.59,1.29,1,192,3
2016,Panoche,1.2,3,Open,,,,79,4
2016,Panoche,1.2,4,Shrub,2.68,2.33,1.16,216,1
2016,Panoche,1.2,4,Open,,,,70,4
2016,Panoche,1.2,5,Shrub,1.86,2,1.34,118,1
2016,Panoche,1.2,5,Open,,,,64,5
2016,Panoche,1.2,6,Shrub,2.59,2.76,1.43,118,4
2016,Panoche,1.2,6,Open,,,,76,6
2016,Panoche,1.2,7,Shrub,2.82,3.11,1.26,192,1
2016,Panoche,1.2,7,Open,,,,82,5
2016,Panoche,1.2,8,Shrub,2.64,2.85,1.34,241,1
2016,Panoche,1.2,8,Open,,,,81,5
2016,Panoche,1.2,9,Shrub,2.01,1.94,1.16,186,1
2016,Panoche,1.2,9,Open,,,,88,5
2016,Panoche,1.2,10,Shrub,1.97,2.06,1.01,216,1
2016,Panoche,1.2,10,Open,,,,86,5
2016,Panoche,1.2,11,Shrub,2.7,3.2,1.14,92,1
2016,Panoche,1.2,11,Open,,,,105,4
2016,Panoche,1.2,12,Shrub,2.1,2.26,1.16,98,4
2016,Panoche,1.2,12,Open,,,,74,6
2016,Panoche,1.2,13,Shrub,1.97,2.28,1.29,100,1
2016,Panoche,1.2,13,Open,,,,67,5
2016,Panoche,1.2,14,Shrub,2.41,2.33,0.64,123,3
2016,Panoche,1.2,14,Open,,,,78,4
2016,Panoche,1.2,15,Shrub,2.55,3.21,1.21,181,1
2016,Panoche,1.2,15,Open,,,,78,3
2016,Panoche,1.2,16,Shrub,1.98,2.14,0.53,116,3
2016,Panoche,1.2,16,Open,,,,82,4
2016,Panoche,1.2,17,Shrub,2.44,1.98,1.02,155,2
2016,Panoche,1.2,17,Open,,,,138,5
2016,Panoche,1.2,18,Shrub,2.04,1.97,0.98,167,3
2016,Panoche,1.2,18,Open,,,,41,5
2016,Panoche,1.2,19,Shrub,1.75,1.55,0.97,178,3
2016,Panoche,1.2,19,Open,,,,80,4
2016,Panoche,1.2,20,Shrub,2.39,2.8,1.04,245,3
2016,Panoche,1.2,20,Open,,,,67,4
2016,Panoche,1.2,21,Shrub,2.38,3.28,1.25,211,1
2016,Panoche,1.2,21,Open,,,,86,3
2016,Panoche,1.2,22,Shrub,1.22,2.14,1.11,172,4
2016,Panoche,1.2,22,Open,,,,81,5
2016,Panoche,1.2,23,Shrub,2.19,3.01,1.35,87,1
2016,Panoche,1.2,23,Open,,,,110,4
2016,Panoche,1.2,24,Shrub,3.31,2.48,1.05,152,3
2016,Panoche,1.2,24,Open,,,,49,4
2016,Panoche,1.2,25,Shrub,1.33,2.33,0.94,177,4
2016,Panoche,1.2,25,Open,,,,82,5
2016,Panoche,1.2,26,Shrub,1.61,1.4,0.89,225,1
2016,Panoche,1.2,26,Open,,,,124,5
2016,Panoche,1.2,27,Shrub,1.88,1.79,1,186,3
2016,Panoche,1.2,27,Open,,,,38,5
2016,Panoche,1.2,28,Shrub,2.2,1.98,1.28,229,1
2016,Panoche,1.2,28,Open,,,,70,4
2016,Panoche,1.2,29,Shrub,2.32,1.64,1.09,143,2
2016,Panoche,1.2,29,Open,,,,143,5
2016,Panoche,1.2,30,Shrub,1.39,1.4,0.82,230,1
2016,Panoche,1.2,30,Open,,,,125,5
2016,Panoche,1.1,1,Shrub,3.1496,3.5814,1.38,139,3
2016,Panoche,1.1,1,Open,,,,148,3
2016,Panoche,1.1,2,Shrub,1.778,1.7018,0.89,241,3
2016,Panoche,1.1,2,Open,,,,203,2
2016,Panoche,1.1,3,Shrub,4.2672,3.5306,1.88,283,4
2016,Panoche,1.1,3,Open,,,,153,3
2016,Panoche,1.1,4,Shrub,4.0386,3.9624,1.49,201,2
2016,Panoche,1.1,4,Open,,,,363,2
2016,Panoche,1.1,5,Shrub,3.94,4.24,1.88,134,3
2016,Panoche,1.1,5,Open,,,,309,2
2016,Panoche,1.1,6,Shrub,4.3434,5.2832,2.15,205,3
2016,Panoche,1.1,6,Open,,,,286,2
2016,Panoche,1.1,7,Shrub,5.2324,4.064,1.83,132,2
2016,Panoche,1.1,7,Open,,,,311,2
2016,Panoche,1.1,8,Shrub,1.94,1.41,0.99,296,3
2016,Panoche,1.1,8,Open,,,,68,3
2016,Panoche,1.1,9,Shrub,4.17,4.37,1.54,156,3
2016,Panoche,1.1,9,Open,,,,213,2
2016,Panoche,1.1,10,Shrub,4.62,4.26,1.53,100,3
2016,Panoche,1.1,10,Open,,,,134,2
2016,Panoche,1.1,11,Shrub,5.27,4.5,1.73,200,2
2016,Panoche,1.1,11,Open,,,,156,2
2016,Panoche,1.1,12,Shrub,5.2,4.89,1.57,148,2
2016,Panoche,1.1,12,Open,,,,219,2
2016,Panoche,1.1,13,Shrub,0.8,6.28,1.73,120,2
2016,Panoche,1.1,13,Open,,,,271,3
2016,Panoche,1.1,14,Shrub,4.67,3.6,1.89,162,3
2016,Panoche,1.1,14,Open,,,,85,2
2016,Panoche,1.1,15,Shrub,4.2,3.62,2.2,118,3
2016,Panoche,1.1,15,Open,,,,278,2
2016,Panoche,1.1,16,Shrub,4.68,3.72,1.64,248,3
2016,Panoche,1.1,16,Open,,,,242,4
2016,Panoche,1.1,17,Shrub,3.31,3.26,1.32,229,4
2016,Panoche,1.1,17,Open,,,,95,2
2016,Panoche,1.1,18,Shrub,4.88,3.13,1.75,38,2
2016,Panoche,1.1,18,Open,,,,262,2
2016,Panoche,1.1,19,Shrub,4.63,3.45,2.2,84,3
2016,Panoche,1.1,19,Open,,,,114,2
2016,Panoche,1.1,20,Shrub,2.84,2.2,1.26,200,2
2016,Panoche,1.1,20,Open,,,,243,2
2016,Panoche,1.1,21,Shrub,3.52,2.64,1.46,63,3
2016,Panoche,1.1,21,Open,,,,292,3
2016,Panoche,1.1,22,Shrub,3.2,3.5,1.6,119,3
2016,Panoche,1.1,22,Open,,,,270,3
2016,Panoche,1.1,23,Shrub,3.94,2.98,1.42,122,3
2016,Panoche,1.1,23,Open,,,,255,3
2016,Panoche,1.1,24,Shrub,3.48,2.54,1.63,222,2
2016,Panoche,1.1,24,Open,,,,166,3
2016,Panoche,1.1,25,Shrub,3.7,3.2,1.14,60,3
2016,Panoche,1.1,25,Open,,,,169,3
2016,Panoche,1.1,26,Shrub,1.54,1.2,0.72,169,4
2016,Panoche,1.1,26,Open,,,,264,3
2016,Panoche,1.1,27,Shrub,2.77,2.66,1.47,163,3
2016,Panoche,1.1,27,Open,,,,266,2
